City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kingsland,30.8,-81.6898,27.74000000000001,91,26,1.59,US,1689836931
1,adamstown,-25.066,-130.1015,22.660000000000025,78,100,12.23,PN,1689836980
2,port saint john's,-31.6229,29.5448,13.350000000000023,68,73,6.62,ZA,1689836980
3,invercargill,-46.4,168.35,4.470000000000027,78,4,4.57,NZ,1689836980
4,ribeira grande,38.5167,-28.7,20.430000000000007,94,75,3.6,PT,1689836981
5,tura,25.5198,90.2201,31.33000000000004,70,66,2.66,IN,1689836981
6,mount gambier,-37.8333,140.7667,9.740000000000009,77,61,5.03,AU,1689836981
7,blackmans bay,-43.0167,147.3167,11.07000000000005,75,77,5.56,AU,1689836981
8,calabozo,8.9242,-67.4293,22.900000000000034,96,100,0.51,VE,1689836981
9,ugoofaaru,5.6667,73.0,28.340000000000032,79,100,6.38,MV,1689836982
10,albany,42.6001,-73.9662,17.460000000000036,84,31,1.53,US,1689836331
11,charters towers,-20.1,146.2667,24.590000000000032,34,33,2.48,AU,1689836982
12,yellowknife,62.456,-114.3525,19.200000000000045,63,91,2.24,CA,1689836982
13,karratha,-20.7377,116.8463,26.720000000000027,28,84,4.61,AU,1689836983
14,xilin hot,43.9667,116.0333,26.53000000000003,46,100,1.78,CN,1689836983
15,jamestown,42.097,-79.2353,15.400000000000034,87,0,0.45,US,1689836733
16,carutapera,-1.195,-46.02,24.010000000000048,93,10,2.22,BR,1689836983
17,hammerfest,70.6634,23.6821,9.25,87,75,4.12,NO,1689836984
18,bayganin,48.6947,55.8742,23.0,63,100,7.74,KZ,1689836984
19,grytviken,-54.2811,-36.5092,-5.3700000000000045,75,11,5.1,GS,1689836984
20,georgetown,5.4112,100.3354,30.660000000000025,97,20,3.09,MY,1689836806
21,ushuaia,-54.8,-68.3,-3.6200000000000045,94,98,1.27,AR,1689836985
22,iqaluit,63.7506,-68.5145,3.8500000000000227,100,100,2.06,CA,1689836985
23,waitangi,-43.9535,-176.5597,8.79000000000002,91,56,1.34,NZ,1689836985
24,smithers,54.7804,-127.1743,16.560000000000002,74,85,0.28,CA,1689836985
25,hermanus,-34.4187,19.2345,6.560000000000002,70,93,5.21,ZA,1689836986
26,daigo,36.7667,140.35,22.840000000000032,88,99,2.33,JP,1689836986
27,newman,37.3138,-121.0208,22.99000000000001,47,0,2.48,US,1689836986
28,keflavik,64.0049,-22.5624,11.240000000000009,93,0,2.57,IS,1689836987
29,andovoranto,-18.95,49.1,23.870000000000005,70,3,1.51,MG,1689836987
30,kerikeri,-35.2268,173.9474,14.390000000000043,94,100,2.68,NZ,1689836988
31,talnakh,69.4865,88.3972,19.700000000000045,64,84,4.54,RU,1689836988
32,alice springs,-23.7,133.8833,22.75,27,40,3.6,AU,1689836988
33,fale old settlement,-9.3852,-171.2468,28.58000000000004,77,12,6.36,TK,1689836988
34,talara,-4.5772,-81.2719,22.07000000000005,81,0,7.29,PE,1689836989
35,kenai,60.5544,-151.2583,13.050000000000011,98,100,0.0,US,1689836989
36,port-aux-francais,-49.35,70.2167,6.03000000000003,87,99,20.17,TF,1689836989
37,micco,27.8806,-80.5003,28.010000000000048,93,100,2.49,US,1689836989
38,udachny,66.4167,112.4,21.360000000000014,42,100,5.51,RU,1689836990
39,kruisfontein,-34.0033,24.7314,8.82000000000005,69,99,2.3,ZA,1689836990
40,chonchi,-42.6128,-73.8092,11.560000000000002,96,100,3.24,CL,1689836990
41,hamilton,39.1834,-84.5333,23.0,94,0,0.0,US,1689836784
42,khandela,27.6,75.5,35.10000000000002,46,38,3.58,IN,1689836990
43,port elizabeth,-33.918,25.5701,10.050000000000011,64,48,4.83,ZA,1689836991
44,kindu,-2.95,25.95,24.379999999999995,66,100,0.33,CD,1689836991
45,kiunga,-6.1219,141.2906,26.879999999999995,78,100,1.09,PG,1689836991
46,happy valley-goose bay,53.3168,-60.3315,15.800000000000011,96,19,2.52,CA,1689836992
47,gurupa,-1.405,-51.64,22.879999999999995,95,42,0.96,BR,1689836992
48,whitehorse,60.7161,-135.0538,16.560000000000002,43,59,0.45,CA,1689836992
49,villamontes,-21.25,-63.5,9.82000000000005,80,0,1.82,BO,1689836992
50,yerofey pavlovich,53.9667,121.9667,22.82000000000005,32,6,4.12,RU,1689836992
51,west island,-12.1568,96.8225,26.99000000000001,69,40,6.17,CC,1689836993
52,kushiro,42.975,144.3747,17.24000000000001,88,50,3.32,JP,1689836993
53,polyarnyy,69.1989,33.4478,11.07000000000005,92,100,9.94,RU,1689836993
54,edinburgh of the seven seas,-37.0676,-12.3116,12.460000000000036,70,53,9.54,SH,1689836993
55,lihue,21.9789,-159.3672,27.58000000000004,85,100,8.75,US,1689836994
56,cabedelo,-6.9811,-34.8339,22.370000000000005,74,6,6.78,BR,1689836994
57,labytnangi,66.6572,66.4183,26.200000000000045,52,83,4.34,RU,1689836994
58,serdar,38.9764,56.2757,34.110000000000014,19,0,5.69,TM,1689836994
59,ilulissat,69.2167,-51.1,7.010000000000048,100,100,3.09,GL,1689836995
60,alaghsas,17.0187,8.0168,31.689999999999998,44,43,9.32,NE,1689836995
61,isafjordur,66.0755,-23.124,9.520000000000039,79,97,0.58,IS,1689836995
62,gilroy,37.0058,-121.5683,17.32000000000005,85,75,1.54,US,1689836995
63,morshansk,53.4435,41.8107,18.960000000000036,63,14,6.12,RU,1689836996
64,new plymouth,-39.0667,174.0833,13.78000000000003,73,100,6.2,NZ,1689836847
65,papatowai,-46.5619,169.4708,4.78000000000003,74,1,4.53,NZ,1689836996
66,reggane,26.7158,0.1714,36.25,11,0,7.37,DZ,1689836996
67,ngereklmadel,7.4883,134.4856,30.05000000000001,74,75,4.12,PW,1689836997
68,maymana,35.9214,64.7836,31.25,23,0,3.58,AF,1689836997
69,port alfred,-33.5906,26.891,13.200000000000045,59,83,6.41,ZA,1689836997
70,la ronge,55.1001,-105.2842,16.02000000000004,71,99,1.58,CA,1689836997
71,sisimiut,66.9395,-53.6735,6.8799999999999955,98,100,1.4,GL,1689836998
72,yigo village,13.5361,144.8886,30.410000000000025,69,0,3.09,GU,1689836998
73,college,64.8569,-147.8028,19.480000000000018,89,75,1.54,US,1689836998
74,thetford-mines,46.0937,-71.3054,13.060000000000002,96,98,1.09,CA,1689836715
75,larache,35.1932,-6.1557,22.670000000000016,78,18,3.85,MA,1689836999
76,nelson,-41.2833,173.2833,9.080000000000041,84,100,2.45,NZ,1689836999
77,mosjoen,65.836,13.1908,14.29000000000002,72,20,0.0,NO,1689836999
78,puerto ayora,-0.7393,-90.3518,24.75,98,58,2.68,EC,1689836999
79,sovetskaya gavan',48.9723,140.2878,21.430000000000007,82,32,3.05,RU,1689837000
80,malango,-2.9627,119.9001,23.79000000000002,90,76,1.52,ID,1689837000
81,ahmedabad,23.0333,72.6167,33.02000000000004,75,40,1.03,IN,1689836939
82,realeza,-25.7689,-53.5325,13.720000000000027,85,61,3.72,BR,1689837000
83,fernley,39.608,-119.2518,25.370000000000005,24,2,2.0,US,1689836736
84,newton,42.337,-71.2092,21.25,87,0,0.45,US,1689836856
85,mount pearl,47.5166,-52.7813,22.470000000000027,95,99,2.24,CA,1689837001
86,camalu,30.85,-116.0667,19.910000000000025,83,3,2.76,MX,1689836771
87,tiksi,71.6872,128.8694,11.75,39,47,6.53,RU,1689837002
88,notse,6.95,1.1667,24.160000000000025,93,46,2.36,TG,1689837002
89,rafaela,-31.2503,-61.4867,6.110000000000014,69,32,0.89,AR,1689837002
90,haiku-pauwela,20.9219,-156.3051,25.02000000000004,86,40,6.69,US,1689837003
91,port blair,11.6667,92.75,31.02000000000004,70,75,7.72,IN,1689837003
92,enewetak,11.3474,162.3373,28.480000000000018,78,88,5.0,MH,1689837003
93,ust-nera,64.5667,143.2,27.689999999999998,36,25,2.04,RU,1689837003
94,margaret river,-33.95,115.0667,15.230000000000018,69,78,8.23,AU,1689837004
95,howrah,22.5892,88.3103,32.27000000000004,79,75,4.63,IN,1689836831
96,san luis de la loma,17.2706,-100.8939,26.900000000000034,86,100,1.38,MX,1689837004
